0,1,2,3,4,5,6,7,8,9,10
Instant food products,yogurt,,,,,,,,,
spices,butter,,,,,,,,,
sausage,pasta,,,,,,,,,
rolls/buns,cream cheese ,yogurt,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
whole milk,dessert,,,,,,,,,
bottled water,bottled water,,,,,,,,,
zwieback,curd,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
whipped/sour cream,meat spreads,,,,,,,,,
frankfurter,chocolate,,,,,,,,,
canned beer,margarine,pastry,,,,,,,,
ham,chewing gum,frozen vegetables,,,,,,,,
fruit/vegetable juice,canned fish,,,,,,,,,
other vegetables,rolls/buns,brown bread,,,,,,,,
butter,potato products,,,,,,,,,
pastry,pickled vegetables,margarine,,,,,,,,
sausage,pastry,fruit/vegetable juice,dessert,,,,,,,
chicken,sugar,,,,,,,,,
whole milk,chocolate,,,,,,,,,
processed cheese,hygiene articles,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
chicken,dessert,,,,,,,,,
hamburger meat,butter,,,,,,,,,
ketchup,whole milk,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
frozen meals,rolls/buns,canned beer,coffee,soda,,,,,,
pip fruit,brown bread,oil,,,,,,,,
sausage,root vegetables,,,,,,,,,
rolls/buns,dishes,,,,,,,,,
meat,chocolate,,,,,,,,,
sausage,chocolate,semi-finished bread,whole milk,rum,bottled beer,,,,,
sauces,herbs,,,,,,,,,
curd,soft cheese,,,,,,,,,
chicken,roll products ,,,,,,,,,
other vegetables,coffee,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
finished products,bottled water,cling film/bags,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
coffee,butter milk,,,,,,,,,
white bread,canned fish,,,,,,,,,
newspapers,coffee,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
herbs,whole milk,other vegetables,shopping bags,,,,,,,
ice cream,long life bakery product,,,,,,,,,
salty snack,chocolate,,,,,,,,,
sausage,yogurt,,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
white bread,bottled water,,,,,,,,,
root vegetables,pastry,rolls/buns,condensed milk,tropical fruit,bathroom cleaner,waffles,canned beer,,,
hamburger meat,pet care,pastry,,,,,,,,
pickled vegetables,bottled beer,,,,,,,,,
candy,specialty cheese,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
butter,mayonnaise,,,,,,,,,
sausage,spread cheese,chocolate,,,,,,,,
whole milk,whole milk,,,,,,,,,
frankfurter,female sanitary products,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
citrus fruit,sausage,brown bread,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
frankfurter,oil,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,frozen meals,yogurt,other vegetables,,,,,,,
butter milk,zwieback,pot plants,,,,,,,,
specialty bar,margarine,,,,,,,,,
pip fruit,onions,domestic eggs,,,,,,,,
liquor,specialty chocolate,,,,,,,,,
soda,red/blush wine,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
domestic eggs,hamburger meat,shopping bags,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
other vegetables,candy,napkins,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
beef,yogurt,,,,,,,,,
sausage,cocoa drinks,,,,,,,,,
whole milk,tropical fruit,rolls/buns,soap,,,,,,,
beef,tea,,,,,,,,,
white bread,coffee,,,,,,,,,
soda,pork,curd,Instant food products,,,,,,,
pork,herbs,,,,,,,,,
bottled water,canned beer,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
whole milk,soda,,,,,,,,,
soda,misc. beverages,,,,,,,,,
whole milk,butter,,,,,,,,,
beverages,other vegetables,root vegetables,,,,,,,,
soda,beverages,,,,,,,,,
bottled water,whole milk,whole milk,frozen vegetables,,,,,,,
long life bakery product,yogurt,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
yogurt,newspapers,,,,,,,,,
rolls/buns,root vegetables,rolls/buns,long life bakery product,,,,,,,
meat,yogurt,,,,,,,,,
canned beer,hard cheese,,,,,,,,,
soda,photo/film,,,,,,,,,
tropical fruit,whole milk,brown bread,pastry,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
dessert,herbs,waffles,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
beef,berries,root vegetables,,,,,,,,
hamburger meat,hygiene articles,soda,tropical fruit,,,,,,,
beverages,mustard,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
pastry,margarine,,,,,,,,,
white bread,beef,coffee,flour,,,,,,,
other vegetables,grapes,yogurt,butter milk,candy,soft cheese,,,,,
photo/film,whole milk,,,,,,,,,
brown bread,waffles,,,,,,,,,
chicken,yogurt,,,,,,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
bottled beer,herbs,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,soda,yogurt,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
whole milk,yogurt,softener,,,,,,,,
whole milk,butter,,,,,,,,,
bottled water,canned vegetables,,,,,,,,,
soda,rolls/buns,,,,,,,,,
other vegetables,sausage,beef,whole milk,prosecco,ice cream,waffles,,,,
female sanitary products,salt,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
butter milk,root vegetables,,,,,,,,,
curd,whole milk,canned beer,,,,,,,,
beef,herbs,oil,,,,,,,,
frankfurter,butter,mustard,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
pastry,shopping bags,,,,,,,,,
liver loaf,herbs,,,,,,,,,
curd,root vegetables,pip fruit,whole milk,margarine,,,,,,
liver loaf,waffles,,,,,,,,,
sweet spreads,rolls/buns,,,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
tidbits,whole milk,frozen vegetables,,,,,,,,
pet care,pastry,red/blush wine,,,,,,,,
citrus fruit,soda,,,,,,,,,
pastry,frozen potato products,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
frankfurter,ham,white wine,detergent,popcorn,,,,,,
meat,whole milk,,,,,,,,,
ice cream,bottled water,,,,,,,,,
whole milk,sugar,whole milk,onions,processed cheese,pip fruit,whole milk,,,,
other vegetables,oil,,,,,,,,,
white wine,processed cheese,,,,,,,,,
pork,whole milk,,,,,,,,,
root vegetables,soda,,,,,,,,,
zwieback,tropical fruit,,,,,,,,,
beef,other vegetables,,,,,,,,,
citrus fruit,brown bread,snack products,napkins,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
whole milk,canned beer,herbs,bottled beer,,,,,,,
bottled beer,frozen vegetables,sliced cheese,,,,,,,,
bottled water,grapes,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
canned beer,organic sausage,tropical fruit,shopping bags,,,,,,,
rolls/buns,kitchen towels,,,,,,,,,
sausage,whole milk,whipped/sour cream,domestic eggs,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
rolls/buns,butter,,,,,,,,,
root vegetables,liquor,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
pork,grapes,,,,,,,,,
whole milk,yogurt,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
whole milk,whole milk,candles,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
pip fruit,butter,whole milk,other vegetables,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
chicken,brown bread,soda,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
other vegetables,dessert,,,,,,,,,
yogurt,sliced cheese,whipped/sour cream,,,,,,,,
sausage,other vegetables,,,,,,,,,
long life bakery product,hard cheese,,,,,,,,,
beverages,prosecco,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
rolls/buns,flower (seeds),,,,,,,,,
bottled beer,packaged fruit/vegetables,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
napkins,sugar,,,,,,,,,
curd,yogurt,,,,,,,,,
pip fruit,dessert,sauces,,,,,,,,
yogurt,yogurt,,,,,,,,,
shopping bags,citrus fruit,whole milk,sliced cheese,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
ham,whole milk,,,,,,,,,
coffee,softener,,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
beef,potato products,,,,,,,,,
sausage,margarine,,,,,,,,,
sausage,yogurt,,,,,,,,,
margarine,bottled water,,,,,,,,,
coffee,bottled beer,shopping bags,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
butter milk,shopping bags,,,,,,,,,
bottled water,whole milk,,,,,,,,,
canned fish,brown bread,,,,,,,,,
ham,whole milk,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
citrus fruit,whole milk,frozen vegetables,,,,,,,,
pip fruit,yogurt,,,,,,,,,
cling film/bags,other vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
brown bread,oil,,,,,,,,,
whipped/sour cream,canned beer,sliced cheese,,,,,,,,
frankfurter,whole milk,,,,,,,,,
long life bakery product,pip fruit,oil,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
soda,candy,,,,,,,,,
tropical fruit,dessert,rolls/buns,long life bakery product,,,,,,,
pork,canned beer,,,,,,,,,
other vegetables,beef,tropical fruit,brown bread,cat food,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
red/blush wine,other vegetables,,,,,,,,,
other vegetables,mayonnaise,beverages,,,,,,,,
dessert,soda,,,,,,,,,
frankfurter,oil,other vegetables,,,,,,,,
grapes,whole milk,frozen vegetables,,,,,,,,
tropical fruit,mayonnaise,other vegetables,meat,roll products ,napkins,frozen meals,newspapers,,,
pork,long life bakery product,,,,,,,,,
bottled beer,canned fish,,,,,,,,,
butter,baking powder,brown bread,,,,,,,,
liquor,long life bakery product,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
citrus fruit,pip fruit,ketchup,roll products ,seasonal products,hard cheese,dog food,,,,
other vegetables,dessert,,,,,,,,,
sausage,chicken,,,,,,,,,
rolls/buns,canned beer,bottled beer,ham,hamburger meat,pickled vegetables,salty snack,domestic eggs,soda,,
grapes,zwieback,,,,,,,,,
sausage,shopping bags,,,,,,,,,
berries,shopping bags,red/blush wine,,,,,,,,
other vegetables,spices,,,,,,,,,
yogurt,whole milk,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
finished products,liquor,,,,,,,,,
tropical fruit,tropical fruit,tropical fruit,long life bakery product,soda,,,,,,
chocolate,pasta,,,,,,,,,
other vegetables,baking powder,salty snack,,,,,,,,
hard cheese,yogurt,,,,,,,,,
pork,tropical fruit,,,,,,,,,
yogurt,rice,butter,,,,,,,,
pork,shopping bags,,,,,,,,,
packaged fruit/vegetables,whole milk,photo/film,oil,,,,,,,
coffee,oil,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
sausage,chicken,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
specialty chocolate,brandy,,,,,,,,,
turkey,flour,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
citrus fruit,bottled beer,cat food,,,,,,,,
brown bread,other vegetables,,,,,,,,,
beef,pot plants,frozen meals,,,,,,,,
butter,whole milk,root vegetables,butter,,,,,,,
yogurt,canned beer,,,,,,,,,
pip fruit,curd,specialty bar,beverages,sausage,soft cheese,rolls/buns,yogurt,other vegetables,curd,newspapers
sausage,oil,cream cheese ,,,,,,,,
soda,root vegetables,,,,,,,,,
pastry,onions,,,,,,,,,
other vegetables,frankfurter,other vegetables,newspapers,spread cheese,,,,,,
whole milk,pot plants,,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
canned beer,soda,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
fish,root vegetables,tropical fruit,other vegetables,,,,,,,
herbs,newspapers,,,,,,,,,
sausage,sausage,frozen vegetables,pastry,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,canned beer,,,,,,,,,
herbs,newspapers,newspapers,rolls/buns,,,,,,,
domestic eggs,canned beer,bottled water,waffles,,,,,,,
other vegetables,margarine,,,,,,,,,
soda,sausage,yogurt,root vegetables,,,,,,,
onions,frozen vegetables,,,,,,,,,
napkins,pastry,,,,,,,,,
coffee,specialty fat,,,,,,,,,
berries,condensed milk,,,,,,,,,
brown bread,pastry,,,,,,,,,
salty snack,whole milk,,,,,,,,,
soda,red/blush wine,,,,,,,,,
liquor (appetizer),onions,whole milk,butter,cream cheese ,specialty cheese,,,,,
rolls/buns,processed cheese,,,,,,,,,
soda,root vegetables,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
whole milk,beef,rolls/buns,mustard,,,,,,,
oil,coffee,,,,,,,,,
canned beer,whole milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
beef,pastry,specialty chocolate,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
beef,bottled water,,,,,,,,,
curd,soda,rolls/buns,,,,,,,,
root vegetables,pasta,pip fruit,red/blush wine,,,,,,,
domestic eggs,dessert,,,,,,,,,
pork,margarine,,,,,,,,,
citrus fruit,yogurt,coffee,,,,,,,,
citrus fruit,coffee,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
rolls/buns,candy,onions,,,,,,,,
pork,other vegetables,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
tidbits,other vegetables,,,,,,,,,
ham,female sanitary products,,,,,,,,,
margarine,whole milk,white bread,,,,,,,,
bottled water,pastry,,,,,,,,,
pork,bottled beer,,,,,,,,,
sliced cheese,frozen chicken,,,,,,,,,
spread cheese,specialty bar,,,,,,,,,
roll products ,dishes,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
sausage,specialty chocolate,bottled water,baking powder,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
beef,rolls/buns,,,,,,,,,
citrus fruit,shopping bags,shopping bags,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
whole milk,dessert,,,,,,,,,
pork,beverages,dishes,,,,,,,,
whipped/sour cream,yogurt,hygiene articles,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pork,spread cheese,,,,,,,,,
canned beer,sugar,,,,,,,,,
mustard,curd,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
root vegetables,butter,,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
pork,bottled beer,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
beef,other vegetables,whole milk,soda,,,,,,,
root vegetables,curd,,,,,,,,,
UHT-milk,yogurt,napkins,,,,,,,,
citrus fruit,sauces,,,,,,,,,
sugar,butter,,,,,,,,,
sliced cheese,pastry,onions,,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
ham,other vegetables,,,,,,,,,
bottled water,berries,other vegetables,rolls/buns,,,,,,,
beverages,curd,,,,,,,,,
chocolate,seasonal products,rolls/buns,,,,,,,,
root vegetables,snack products,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
soda,frozen vegetables,cream cheese ,,,,,,,,
pastry,soda,semi-finished bread,white bread,,,,,,,
frankfurter,brown bread,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
citrus fruit,beef,,,,,,,,,
whole milk,rolls/buns,cat food,shopping bags,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
chicken,pastry,,,,,,,,,
citrus fruit,butter,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
rolls/buns,soda,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
root vegetables,sausage,cream cheese ,curd,UHT-milk,,,,,,
liquor,vinegar,,,,,,,,,
beverages,root vegetables,candles,,,,,,,,
other vegetables,yogurt,bottled water,,,,,,,,
whipped/sour cream,pastry,napkins,,,,,,,,
curd,curd,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
sausage,other vegetables,,,,,,,,,
canned beer,dishes,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
ice cream,beef,,,,,,,,,
cream cheese ,domestic eggs,,,,,,,,,
canned beer,bottled water,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
whole milk,coffee,soft cheese,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
frankfurter,oil,soda,,,,,,,,
ham,rolls/buns,rolls/buns,chewing gum,,,,,,,
waffles,whole milk,condensed milk,,,,,,,,
coffee,shopping bags,,,,,,,,,
whole milk,cake bar,,,,,,,,,
root vegetables,bottled water,napkins,shopping bags,rice,,,,,,
fish,canned beer,chocolate,,,,,,,,
finished products,margarine,whipped/sour cream,,,,,,,,
canned beer,yogurt,soda,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
cake bar,flower soil/fertilizer,,,,,,,,,
butter milk,dessert,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
house keeping products,newspapers,,,,,,,,,
canned beer,yogurt,white bread,,,,,,,,
whole milk,chicken,curd,rolls/buns,cereals,bottled water,,,,,
misc. beverages,soda,,,,,,,,,
chicken,cake bar,,,,,,,,,
UHT-milk,curd,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
other vegetables,sugar,,,,,,,,,
sausage,domestic eggs,sweet spreads,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
canned beer,whole milk,,,,,,,,,
citrus fruit,white wine,bottled beer,newspapers,cat food,,,,,,
herbs,domestic eggs,,,,,,,,,
other vegetables,soda,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
frankfurter,butter,long life bakery product,,,,,,,,
berries,chocolate marshmallow,,,,,,,,,
soda,specialty bar,,,,,,,,,
frozen potato products,root vegetables,,,,,,,,,
other vegetables,salty snack,syrup,newspapers,oil,,,,,,
pork,canned fish,,,,,,,,,
onions,soda,,,,,,,,,
turkey,root vegetables,other vegetables,berries,salty snack,,,,,,
whole milk,processed cheese,pastry,baking powder,fruit/vegetable juice,coffee,newspapers,,,,
citrus fruit,sparkling wine,bottled water,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
misc. beverages,sausage,root vegetables,liquor (appetizer),coffee,,,,,,
specialty chocolate,margarine,,,,,,,,,
sausage,beverages,canned beer,whole milk,,,,,,,
citrus fruit,frozen vegetables,margarine,,,,,,,,
white bread,shopping bags,,,,,,,,,
frozen meals,butter,whole milk,brandy,,,,,,,
bottled water,soda,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
UHT-milk,fruit/vegetable juice,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
soda,salt,sauces,curd,sugar,margarine,,,,,
decalcifier,whole milk,,,,,,,,,
yogurt,cream cheese ,,,,,,,,,
rolls/buns,berries,shopping bags,rice,,,,,,,
tropical fruit,whole milk,dish cleaner,yogurt,newspapers,,,,,,
root vegetables,ice cream,,,,,,,,,
whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns,,,
candles,whole milk,,,,,,,,,
hygiene articles,yogurt,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
beef,soft cheese,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,long life bakery product,root vegetables,,,,,,,,
sausage,bottled beer,root vegetables,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
cake bar,bottled beer,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
other vegetables,beverages,margarine,,,,,,,,
other vegetables,bottled water,,,,,,,,,
chocolate,waffles,,,,,,,,,
sausage,pastry,mayonnaise,,,,,,,,
frankfurter,dessert,,,,,,,,,
other vegetables,pork,herbs,oil,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
sausage,pip fruit,,,,,,,,,
candy,domestic eggs,,,,,,,,,
rolls/buns,pork,pastry,other vegetables,soda,pot plants,newspapers,,,,
beef,whole milk,,,,,,,,,
sausage,shopping bags,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
popcorn,citrus fruit,,,,,,,,,
dessert,soda,,,,,,,,,
oil,other vegetables,rolls/buns,,,,,,,,
liver loaf,pip fruit,fruit/vegetable juice,curd,,,,,,,
oil,whipped/sour cream,specialty cheese,soda,beverages,,,,,,
root vegetables,soda,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
detergent,other vegetables,oil,beverages,rolls/buns,specialty bar,,,,,
butter milk,frozen vegetables,,,,,,,,,
chicken,butter milk,sugar,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
specialty chocolate,pet care,,,,,,,,,
hamburger meat,bottled beer,brown bread,yogurt,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,bathroom cleaner,,,,,,,,,
flower soil/fertilizer,rolls/buns,,,,,,,,,
pork,soft cheese,rolls/buns,butter milk,butter,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pastry,brandy,soda,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
white bread,salty snack,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
pot plants,pickled vegetables,house keeping products,,,,,,,,
meat,vinegar,,,,,,,,,
yogurt,pot plants,,,,,,,,,
bottled water,butter milk,,,,,,,,,
tropical fruit,frozen meals,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
misc. beverages,cling film/bags,curd,,,,,,,,
onions,tropical fruit,shopping bags,other vegetables,,,,,,,
whipped/sour cream,other vegetables,shopping bags,,,,,,,,
chicken,rolls/buns,,,,,,,,,
onions,other vegetables,,,,,,,,,
sausage,pastry,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
soda,red/blush wine,,,,,,,,,
meat,domestic eggs,packaged fruit/vegetables,,,,,,,,
soda,specialty bar,,,,,,,,,
hamburger meat,popcorn,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
berries,other vegetables,butter,newspapers,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
pip fruit,canned beer,,,,,,,,,
misc. beverages,dessert,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
pork,root vegetables,,,,,,,,,
whole milk,pastry,,,,,,,,,
pork,sugar,,,,,,,,,
beef,pip fruit,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
ham,white wine,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
hamburger meat,spread cheese,pasta,,,,,,,,
root vegetables,yogurt,specialty bar,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
root vegetables,domestic eggs,chocolate,,,,,,,,
citrus fruit,pork,napkins,domestic eggs,,,,,,,
root vegetables,whole milk,newspapers,,,,,,,,
UHT-milk,brown bread,whole milk,ice cream,,,,,,,
pastry,domestic eggs,dish cleaner,,,,,,,,
soda,cream cheese ,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
ice cream,specialty chocolate,,,,,,,,,
beverages,other vegetables,brown bread,,,,,,,,
beef,domestic eggs,,,,,,,,,
ham,spread cheese,,,,,,,,,
frankfurter,canned fish,beverages,,,,,,,,
meat,root vegetables,,,,,,,,,
fish,root vegetables,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
tropical fruit,zwieback,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
packaged fruit/vegetables,chocolate,,,,,,,,,
bottled water,yogurt,,,,,,,,,
finished products,berries,,,,,,,,,
dish cleaner,bottled beer,fruit/vegetable juice,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
berries,rolls/buns,,,,,,,,,
frozen potato products,frankfurter,brown bread,roll products ,detergent,,,,,,
sausage,canned beer,rum,spices,,,,,,,
chicken,whole milk,rolls/buns,,,,,,,,
brown bread,tropical fruit,berries,berries,,,,,,,
condensed milk,yogurt,butter,,,,,,,,
pasta,hygiene articles,,,,,,,,,
pastry,bottled beer,fruit/vegetable juice,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
citrus fruit,white bread,processed cheese,,,,,,,,
coffee,whole milk,,,,,,,,,
ham,onions,,,,,,,,,
canned beer,tropical fruit,kitchen towels,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
frozen vegetables,red/blush wine,,,,,,,,,
turkey,onions,,,,,,,,,
